Date of Launch,Geographic Coordinate,COSPAR Number,NORAD Number,Current Official Name of Satellite,Launch Site,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Launch Vehicle,Expected Lifetime (yrs.),Contractor,Country of Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Comments,Unnamed: 27,Source Used for Orbital Data,lat,lon,date,weathercode,temperature_2m_mean,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,cloudcover_mean,relative_humidity_2m_mean,weather_summary,Launch Year,year
2010-10-06,"(38.848744585386704, 111.60792935276686)",2010-051A,37179,Shijian 6G,Taiyuan Launch Center,China,China,China Academy of Space Technology (CAST),Long March 4B,,China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.,China,Government,Earth Observation,,LEO,Sun-Synchronous,0.0,584.0,603.0,0.001364256480218281,97.7,96.6,,,,Possible reconnaissance function.,,www.satellitedebris.net 12/12,38.848744585386704,111.60792935276686,2010-10-06,3,14.3,0.0,0.0,13.6,32.4,41,53,Parcialmente nublado,2010,2010
2010-10-06,"(38.848744585386704, 111.60792935276686)",2010-051B,37180,Shijian 6H,Taiyuan Launch Center,China,China,China Academy of Space Technology (CAST),Long March 4B,,China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.,China,Government,Earth Observation,,LEO,Sun-Synchronous,0.0,586.0,602.0,0.0011487650775416428,97.7,96.6,,,,Possible reconnaissance function.,,www.satellitedebris.net 12/12,38.848744585386704,111.60792935276686,2010-10-06,3,14.3,0.0,0.0,13.6,32.4,41,53,Parcialmente nublado,2010,2010
2010-10-14,"(45.96725377748388, 63.30547994996387)",2010-053A,37185,Sirius XM-5,Baikonur Cosmodrome,USA,USA,Sirius XM Holdings,Proton M,15.0,Space Systems/Loral,USA,Commercial,Communications,,GEO,,-85.2,35779.0,35795.0,0.0001897668240149916,0.03,1436.12,5983.0,,18000,Direct radio broadcasting.,,SC - ASCR ,45.96725377748388,63.30547994996387,2010-10-14,3,10.5,0.0,0.0,18.4,31.3,74,65,Parcialmente nublado,2010,2010
2010-10-19,"(45.96725377748388, 63.30547994996387)",2010-054E,37192,Globalstar M075,Baikonur Cosmodrome,ESA,USA,Globalstar,Soyuz-Fregat,15.0,Thales Alenia Space,Italy,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413.0,1415.0,0.00012846865364850977,52.0,114.1,700.0,,1700,,,www.satellitedebris.net 12/12,45.96725377748388,63.30547994996387,2010-10-19,51,8.0,0.4,2.0,16.2,25.2,65,57,Lluvia ligera,2010,2010
2010-10-19,"(45.96725377748388, 63.30547994996387)",2010-054D,37191,Globalstar M077,Baikonur Cosmodrome,ESA,USA,Globalstar,Soyuz-Fregat,15.0,Thales Alenia Space,Italy,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413.0,1414.0,6.423845313804844e-05,52.0,114.1,700.0,,1700,,,www.satellitedebris.net 12/12,45.96725377748388,63.30547994996387,2010-10-19,51,8.0,0.4,2.0,16.2,25.2,65,57,Lluvia ligera,2010,2010
2010-10-19,"(45.96725377748388, 63.30547994996387)",2010-054C,37190,Globalstar M076,Baikonur Cosmodrome,ESA,USA,Globalstar,Soyuz-Fregat,15.0,Thales Alenia Space,Italy,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1412.0,1415.0,0.0001927153594141453,52.0,114.1,700.0,,1700,,,www.satellitedebris.net 12/12,45.96725377748388,63.30547994996387,2010-10-19,51,8.0,0.4,2.0,16.2,25.2,65,57,Lluvia ligera,2010,2010
2010-10-19,"(45.96725377748388, 63.30547994996387)",2010-054B,37189,Globalstar M074,Baikonur Cosmodrome,ESA,USA,Globalstar,Soyuz-Fregat,15.0,Thales Alenia Space,Italy,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413.0,1415.0,0.00012846865364850977,52.0,114.1,700.0,,1700,,,www.satellitedebris.net 12/12,45.96725377748388,63.30547994996387,2010-10-19,51,8.0,0.4,2.0,16.2,25.2,65,57,Lluvia ligera,2010,2010
2010-10-19,"(45.96725377748388, 63.30547994996387)",2010-054F,37193,Globalstar M073,Baikonur Cosmodrome,ESA,USA,Globalstar,Soyuz-Fregat,15.0,Thales Alenia Space,Italy,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413.0,1414.0,6.423845313804844e-05,52.0,114.1,700.0,,1700,,,www.satellitedebris.net 12/12,45.96725377748388,63.30547994996387,2010-10-19,51,8.0,0.4,2.0,16.2,25.2,65,57,Lluvia ligera,2010,2010
2010-10-19,"(45.96725377748388, 63.30547994996387)",2010-054A,37188,Globalstar M079,Baikonur Cosmodrome,ESA,USA,Globalstar,Soyuz-Fregat,15.0,Thales Alenia Space,Italy,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413.0,1414.0,6.423845313804844e-05,52.0,114.1,700.0,,1700,First of second generation.,,www.satellitedebris.net 12/12,45.96725377748388,63.30547994996387,2010-10-19,51,8.0,0.4,2.0,16.2,25.2,65,57,Lluvia ligera,2010,2010
2010-10-28,"(5.23314401858844, -52.776983796694616)",2010-056B,37207,BSAT-3B,Guiana Space Center,Japan,Japan,Broadcasting Satellite System Corp.,Ariane 5 ECA,15.0,Lockheed Martin Commercial Space Systems,USA,Commercial,Communications,,GEO,,110.0,33066.0,35725.0,0.03261336178876746,0.07,1365.61,2060.0,975,,Broadcast 130W Ku-band transponders.,,SC - ASCR,5.23314401858844,-52.776983796694616,2010-10-28,63,26.3,8.1,18.0,13.9,28.1,94,85,Lluvia ligera,2010,2010
2010-10-31,"(28.246289127653373, 102.02655974251424)",2010-057A,37210,Beidou G4,Xichang Satellite Launch Center,China,China,Chinese Ministry of National Defense,Long March 3C,8.0,Space Technology Research Institute (part of CASC),China,Government/Military,Satellite Navigation,,GEO,,160.0,35764.0,35809.0,0.0005337255227544981,1.43,1436.1,6000.0,,,Part of Beidou constellation.,,SC - ASCR,28.246289127653373,102.02655974251424,2010-10-31,3,12.9,0.0,0.0,11.5,38.2,41,69,Parcialmente nublado,2010,2010
2010-11-02,"(62.92795253294236, 40.574883713321356)",2010-058A,37212,Meridian-3,Plesetsk Cosmodrome,Russia,Russia,Military Space Forces (VKS),Soyuz-2.1a,,PO Polyot,Russia,Military,Communications,,Elliptical,Molniya,0.0,2253.0,38105.0,0.6752043391464838,62.85,645.98,2500.0,,,"Military communications - designed to replace Molniya and Parus spacecraft; this is the third of the series, first success.",,WT,62.92795253294236,40.574883713321356,2010-11-02,51,3.1,0.1,1.0,17.6,37.8,61,82,Lluvia ligera,2010,2010
2010-11-04,"(38.848744585386704, 111.60792935276686)",2010-059A,37214,Fengyun 3B,Taiyuan Launch Center,China,China,China Meteorological Administration,Long March 4C,,Shanghai Academy of Spaceflight Technology (SAST),China,Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.0,827.0,828.0,6.946856547412296e-05,98.8,101.5,2300.0,,,Meteorological.,,www.satellitedebris.net 12/12,38.848744585386704,111.60792935276686,2010-11-04,0,4.8,0.0,0.0,11.5,29.2,0,53,Soleado,2010,2010
2010-11-06,"(34.74738558053763, -120.57287382598979)",2010-060A,37216,COSMO-Skymed 4,Vandenberg AFB,ESA,Italy,Italian Space Agency/Ministry of Defense,Delta 2,5.0,Thales Alenia Space,Italy,Government/Military,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0.0,622.0,623.0,7.150518412584913e-05,97.9,97.2,1700.0,,,"Earth imaging; synthetic aperture radar (SAR) operating in X-band, focus on Mediterranean security.",,www.satellitedebris.net 12/12,34.74738558053763,-120.57287382598979,2010-11-06,51,15.1,0.2,1.0,19.4,31.0,66,83,Lluvia ligera,2010,2010
2010-11-14,"(45.96725377748388, 63.30547994996387)",2010-061A,37218,SkyTerra 1,Baikonur Cosmodrome,USA,USA,LightSquared,Breeze M,15.0,Boeing Satellite Systems,USA,Commercial,Communications,,GEO,,-101.3,35782.0,35791.0,0.00010674510455089963,6.06,1436.09,5360.0,3200,,"Part of a fourth generation, or 4G, wireless system designed to reach nearly every American by the end of 2016. 22-m diameter L-band antenna; 2 m Ku-band antenna.",,SC  - ASCR,45.96725377748388,63.30547994996387,2010-11-14,3,5.0,0.0,0.0,18.7,25.9,42,60,Parcialmente nublado,2010,2010
2010-11-20,"(57.43532950799345, -152.33958590527274)",2010-062F,37227,USA 222,Kodiak Launch Complex,USA,USA,University of Texas - Austin,Minotaur 4,,University of Texas - Austin,USA,Civil/Military,Technology Development,,LEO,Polar,0.0,627.0,654.0,0.001925682904215106,71.97,97.54,55.0,,,Consists of two satellites that will be launched together -- Sara Lily and Emma.,,SC - ASCR,57.43532950799345,-152.33958590527274,2010-11-20,3,-0.3,0.0,0.0,6.4,15.5,51,82,Parcialmente nublado,2010,2010
2010-11-20,"(57.43532950799345, -152.33958590527274)",2010-062C,37224,219,Kodiak Launch Complex,USA,USA,National Aeronautics and Space Administration (NASA)-Ames Research Center/Stanford University,Minotaur 4,0.5,NASA/Ames Research Center,USA,Civil/Government,Space Science,,LEO,Polar,0.0,624.0,654.0,0.0021401055785418748,71.97,97.48,5.5,,,"Carries two biological experiments - one will test live microorganisms, the other inanimate organic samples, to see how they react to conditions in space for six months.",,SC - ASCR ,57.43532950799345,-152.33958590527274,2010-11-20,3,-0.3,0.0,0.0,6.4,15.5,51,82,Parcialmente nublado,2010,2010
2010-11-21,"(28.478816053592052, -80.57606021672525)",2010-063A,37232,USA 223,Cape Canaveral,USA,USA,National Reconnaissance Office (NRO),Delta 4 Heavy,,National Reconnaissance Laboratory (?),USA,Military,Earth Observation,Electronic Intelligence,GEO,,95.0,35500.0,35500.0,0.0,0.0,1436.0,5000.0,,,ELINT.,,SC - ASCR,28.478816053592052,-80.57606021672525,2010-11-21,53,21.7,8.0,21.0,27.1,40.7,63,76,Lluvia ligera,2010,2010
2010-11-24,"(28.246289127653373, 102.02655974251424)",2010-064A,37234,Zhongxing 20A,Xichang Satellite Launch Center,China,China,People's Liberation Army (C41),Long March 3B,,China Academy of Space Technology (CAST),China,Military,Communications,,GEO,,130.0,35773.0,35799.0,0.0003083784040231521,0.55,1436.05,2300.0,,,"Announced as commercial communications satellite, but believed by many to be military.",,SC - ASCR,28.246289127653373,102.02655974251424,2010-11-24,53,9.9,1.4,4.0,5.4,18.4,94,80,Lluvia ligera,2010,2010
2010-11-26,"(5.23314401858844, -52.776983796694616)",2010-065B,37238,Intelsat 17,Guiana Space Center,USA,USA,Intelsat S.A.,Ariane 5,16.0,Space Systems/Loral,USA,Commercial,Communications,,GEO,,66.0,35770.0,35804.0,0.0004032545010318571,0.03,1436.12,5540.0,2393,,"24 C-band, 25 Ku-band transponders serving Europe, the Middle East, Africa, Russia and Asia.",,SC - ASCR ,5.23314401858844,-52.776983796694616,2010-11-26,51,27.2,0.3,1.0,19.5,36.0,27,80,Lluvia ligera,2010,2010
2010-11-26,"(5.23314401858844, -52.776983796694616)",2010-065A,37237,HYLAS 1,Guiana Space Center,ESA,United Kingdom,"Avanti Communications, PLC",Ariane 5,15.0,EADS Astrium,France,Commercial,Communications,,GEO,,-33.5,35770.0,35803.0,0.00039139871668663197,0.01,1436.07,2242.0,,,Stated goal of providing broadband internet access to people in the areas hardest to reach by terrestrial connectivity means,,SC - ASCR,5.23314401858844,-52.776983796694616,2010-11-26,51,27.2,0.3,1.0,19.5,36.0,27,80,Lluvia ligera,2010,2010
2010-12-17,"(28.246289127653373, 102.02655974251424)",2010-068A,37256,Beidou IGSO-2,Xichang Satellite Launch Center,China,China,Chinese Ministry of National Defense,Long March 3A,8.0,Space Technology Research Institute (part of CASC),China,Government/Military,Satellite Navigation,,GEO,,118.0,35717.0,35817.0,0.001186605596031991,55.23,1436.12,4200.0,1900,,Part of Beidou constellation.,,SC - ASCR,28.246289127653373,102.02655974251424,2010-12-17,2,6.5,0.0,0.0,11.6,36.0,22,71,Parcialmente nublado,2010,2010
2010-12-26,"(45.96725377748388, 63.30547994996387)",2010-069A,37258,Eutelsat KA-SAT 9A,Baikonur Cosmodrome,ESA,Multinational,EUTELSAT S.A.,Proton,15.0,EADS Astrium,France/UK/Germany/Spain,Commercial,Communications,,GEO,,9.0,35714.0,35856.0,0.0016842604673229747,0.13,1436.01,6150.0,3200,11000,First satellite with exclusively Ka-band communications payload.,,SC - ASCR,45.96725377748388,63.30547994996387,2010-12-26,2,-1.4,0.0,0.0,8.0,13.7,16,79,Parcialmente nublado,2010,2010
2010-12-29,"(5.23314401858844, -52.776983796694616)",2010-070B,37265,Koreasat 6,Guiana Space Center,South Korea,South Korea,KT Corporation,Ariane 5,15.0,Orbital Sciences Corp.,USA,Commercial,Communications,,GEO,,116.0,35780.0,35794.0,0.00016604597101311762,0.05,1436.12,2850.0,1150,,Enhanced HD and 3D satellite TV programs. 30 Ku-and transponders. Will replace Koreasat 3.,,SC - ASCR,5.23314401858844,-52.776983796694616,2010-12-29,51,25.8,1.6,9.0,16.1,31.3,61,83,Lluvia ligera,2010,2010
2010-12-29,"(5.23314401858844, -52.776983796694616)",2010-070A,37264,Hispasat 1E,Guiana Space Center,Unknown,Spain,Hispasat,Ariane 5,15.0,Space Systems/Loral,USA,Commercial,Communications,,GEO,,-30.0,35782.0,35786.0,4.744508231721782e-05,0.07,1435.95,5320.0,2175,14000,63 Ku-band transponders and a Ka-band capability.,,SC - ASCR,5.23314401858844,-52.776983796694616,2010-12-29,51,25.8,1.6,9.0,16.1,31.3,61,83,Lluvia ligera,2010,2010
2011-01-20,"(45.96725377748388, 63.30547994996387)",2011-001A,37344,Electro-L1,Baikonur Cosmodrome,Russia,Russia,Roshydromet - Planeta,Zenit,10.0,Lavochkin,Russia,Government,Earth Observation,Meteorology,GEO,,76.0,35323.0,35750.0,0.005094675050409841,0.46,1423.35,1766.0,,,"Satellite's position in GEO will yield real-time views of entire Earth disk -- wide swath of Asia, Middle East and Indian Ocean. Will also provide communciations for search-and-rescue services.",,SC - ASCR,45.96725377748388,63.30547994996387,2011-01-20,71,-4.3,0.5,3.0,18.1,29.5,68,73,Nieve,2011,2011
2011-01-20,"(34.74738558053763, -120.57287382598979)",2011-002A,37348,USA 224,Vandenberg AFB,USA,USA,National Reconnaissance Office (NRO),Delta 4 Heavy,5.0,Lockheed Martin,USA,Military,Earth Observation,Optical Imaging,LEO,Elliptical,0.0,200.0,1000.0,0.05738880918220947,97.8,97.0,18000.0,10000,,Believed to be KH-11 class.,,JMSatcat/2_,34.74738558053763,-120.57287382598979,2011-01-20,2,13.1,0.0,0.0,24.0,41.8,14,66,Parcialmente nublado,2011,2011
2011-02-06,"(34.74738558053763, -120.57287382598979)",2011-006A,37364,225,Vandenberg AFB,USA,USA,National Reconnaissance Office (NRO),Minotaur 4,,National Reconnaissance Laboratory,USA,Military,Technology Development,,LEO,Polar,0.0,1199.0,1202.0,0.00019813750743015652,90.0,109.42,350.0,,,Technology development - .,,ZARYA,34.74738558053763,-120.57287382598979,2011-02-06,3,15.3,0.0,0.0,20.0,33.8,35,61,Parcialmente nublado,2011,2011
2011-02-26,"(62.92795253294236, 40.574883713321356)",2011-009A,37372,Cosmos 2471,Plesetsk Cosmodrome,Russia,Russia,Ministry of Defense,Soyuz-2,10.0,ISS Reshetnev,Russia,Commercial/Military,Satellite Navigation,,MEO,Non-Polar Inclined,0.0,19116.0,19146.0,0.0005882122269714914,64.77,675.78,935.0,,1700,"Next generation. Will transmit more navigation signals. Five channels, four in L1 andL2 bands and one for civilian aplications in the L3 band.",,SC - ASCR,62.92795253294236,40.574883713321356,2011-02-26,71,-13.2,0.5,5.0,19.1,41.8,51,79,Nieve,2011,2011
2011-03-02,"(28.478816053592052, -80.57606021672525)",2011-011A,37377,USA 227,Cape Canaveral,USA,USA,National Reconnaissance Office (NRO)/US Air Force,Delta 4,,National Reconnaissance Laboratory,USA,Military,Communications,Data Relay,GEO,,131.06,35770.0,35803.0,0.00039139871668663197,4.7,1436.1,,,,Real-time data relay from reconnaissance satellites.,,JM/5_11,28.478816053592052,-80.57606021672525,2011-03-02,3,20.1,0.0,0.0,31.6,45.7,38,66,Parcialmente nublado,2011,2011
2011-04-09,"(28.246289127653373, 102.02655974251424)",2011-013A,37384,Beidou IGSO-3,Xichang Satellite Launch Center,China,China,Chinese Ministry of National Defense,Long March 3A,,Space Technology Research Institute (part of CASC),China,Government/Military,Satellite Navigation,,GEO,,118.0,35693.0,37872.0,0.025247668153641156,96.4,1435.93,4200.0,1900,,Part of Beidou constellation.,,JM/5_11,28.246289127653373,102.02655974251424,2011-04-09,3,12.8,0.0,0.0,10.1,34.9,55,65,Parcialmente nublado,2011,2011
2011-04-15,"(34.74738558053763, -120.57287382598979)",2011-014B,37391,USA 229,Vandenberg AFB,USA,USA,National Reconnaissance Office (NRO)/US Navy,Atlas 5,,Lockheed Martin,USA,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0.0,1014.0,1201.0,0.012504179204279505,63.4,107.4,5000.0,,,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,SC - ASCR,34.74738558053763,-120.57287382598979,2011-04-15,2,14.6,0.0,0.0,26.9,46.8,9,52,Parcialmente nublado,2011,2011
2011-04-15,"(34.74738558053763, -120.57287382598979)",2011-014A,37386,USA 229,Vandenberg AFB,USA,USA,National Reconnaissance Office (NRO)/US Navy,Atlas 5,,Lockheed Martin,USA,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0.0,1019.0,1205.0,0.012429831595829992,63.4,107.5,,,,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,SC - ASCR,34.74738558053763,-120.57287382598979,2011-04-15,2,14.6,0.0,0.0,26.9,46.8,9,52,Parcialmente nublado,2011,2011
2011-04-20,"(13.726115425221352, 80.22658668288408)",2011-015C,37389,X-Sat,Satish Dhawan Space Center,Unknown,Singapore,Centre for Research in Satellite Technology (CREST),PSLV C16,3.0,Centre for Research in Satellite Technology (CREST),Singapore,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,801.0,823.0,0.0015316067947646894,98.7,101.1,91.0,,175,"Signapore's first national satellite; multi-spectral camera, will demonstrate space-based remote sensing and image processing technologies.",,www.spacedebris.net 12/12,13.726115425221352,80.22658668288408,2011-04-20,51,29.8,0.2,1.0,25.3,38.9,52,76,Lluvia ligera,2011,2011
2011-04-20,"(13.726115425221352, 80.22658668288408)",2011-015B,37388,Youthsat,Satish Dhawan Space Center,India,India,Indian Space Research Organization (ISRO),PSLV C16,2.0,Indian Space Research Organization (ISRO),India,Government,Space Science,,LEO,Sun-Synchronous,0.0,802.0,824.0,0.0015313935681470138,98.7,101.2,92.0,,,"Payloads a collaboration between Indian and Russian students, carries three science instruments.",,prehled-druzic,13.726115425221352,80.22658668288408,2011-04-20,51,29.8,0.2,1.0,25.3,38.9,52,76,Lluvia ligera,2011,2011
2011-04-20,"(13.726115425221352, 80.22658668288408)",2011-015A,37387,Resourcesat 2,Satish Dhawan Space Center,India,India/Canada,Indian Space Research Organization (ISRO)/exactEarth,PSLV C16,5.0,Indian Space Research Organization (ISRO),India,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,817.0,823.0,0.0004172461752433936,98.7,101.3,1206.0,,,Follow-on to Resourcesat 1; will provide data with enhanced multispectral and spatial coverage as well.,,www.satellitedebris.net 12/12,13.726115425221352,80.22658668288408,2011-04-20,51,29.8,0.2,1.0,25.3,38.9,52,76,Lluvia ligera,2011,2011
2011-04-22,"(5.23314401858844, -52.776983796694616)",2011-016A,37392,Intelsat New Dawn,Guiana Space Center,Unknown,USA,Intelsat S.A.,Ariane 5,15.0,Orbital Sciences Corp.,USA,Commercial,Communications,,GEO,,32.8,35800.0,35892.0,0.001089634261891226,0.05,1439.15,3000.0,1283,4800,"Carries 14 active C-band transponders and 16 Ku-band transponders to serve customers in Africa, the Middle East, Pakistan and Western Europe; the C-band antenna has failed to deploy as of 6/11.",,SC - ASCR,5.23314401858844,-52.776983796694616,2011-04-22,53,26.6,3.4,12.0,19.7,38.9,65,81,Lluvia ligera,2011,2011
2011-04-22,"(5.23314401858844, -52.776983796694616)",2011-016B,37393,Yahsat-1A,Guiana Space Center,United Arab Emirates,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Ariane 5,15.0,Astrium/Thales Alenia Space,France,Commercial/Military,Communications,,GEO,,52.5,35743.0,35823.0,0.0009489241572367328,0.04,1435.92,5953.0,,,"First of two identical satellites; Ku, Ka, and C-band transponders. Direct-to-home television programming, secure Ka-band communications for military and government in UAE.",,JMSatcat/9_21,5.23314401858844,-52.776983796694616,2011-04-22,53,26.6,3.4,12.0,19.7,38.9,65,81,Lluvia ligera,2011,2011
2011-05-04,"(62.92795253294236, 40.574883713321356)",2011-018A,37398,Meridian-4,Plesetsk Cosmodrome,Russia,Russia,Military Space Forces (VKS),Soyuz-2.1a,,PO Polyot,Russia,Military,Communications,,Elliptical,Molniya,0.0,1722.0,38637.0,0.6952108325957175,64.47,717.88,2500.0,,,Military communications - designed to replace Molniya and Parus spacecraft; this is the fourth of the series.,,WT,62.92795253294236,40.574883713321356,2011-05-04,51,9.1,0.2,2.0,14.4,33.1,76,86,Lluvia ligera,2011,2011
2011-05-07,"(28.478816053592052, -80.57606021672525)",2011-019A,37481,USA 230,Cape Canaveral,USA,USA,US Air Force,Atlas 5,12.0,Lockheed Martin Space Systems,USA,Military,Earth Observation,Infrared Imaging,GEO,,-96.84,35778.0,35795.0,0.00020162964192947707,6.45,1436.11,4500.0,,,Defect in communications system; still has not entered service as of 2013. Uses infrared sensors to detect and track missile launches; equipped with both scanning and staring instruments.  Will eventually replace DSP system.,,SC - ASCR,28.478816053592052,-80.57606021672525,2011-05-07,1,23.1,0.0,0.0,21.3,34.9,4,66,Parcialmente nublado,2011,2011
2011-05-20,"(5.23314401858844, -52.776983796694616)",2011-022B,37606,ST-2,Guiana Space Center,Unknown,Singapore/Taiwan,Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.,Ariane 5,15.0,Mitsubishi Electric,Japan,Commercial,Communications,,GEO,,87.99,35783.0,35791.0,9.48834120074958e-05,0.02,1436.12,5090.0,,,"Will replace ST1. Six antennas, 41 Ku-band tarnsponders and 10 C-band transponders.",,JM/9_11,5.23314401858844,-52.776983796694616,2011-05-20,63,25.1,13.1,15.0,19.8,41.4,97,90,Lluvia ligera,2011,2011
2011-05-20,"(5.23314401858844, -52.776983796694616)",2011-022A,37605,GSAT-8,Guiana Space Center,India,India,Indian Space Research Organization (ISRO),Ariane 5,12.0,Indian Space Research Organization (ISRO),India,Government,Communications/Satellite Navigation,,GEO,,55.0,35782.0,35796.0,0.00016603809388268223,0.09,1436.23,3093.0,1426,6250,Direct-to-home broadcast  and other domestic needs. Equipped with GAGAN (GPS Aided GEO Augmented Navigation).,,SC - ASCR 9/11,5.23314401858844,-52.776983796694616,2011-05-20,63,25.1,13.1,15.0,19.8,41.4,97,90,Lluvia ligera,2011,2011
2011-05-20,"(45.96725377748388, 63.30547994996387)",2011-021A,37602,Telstar 14R,Baikonur Cosmodrome,Brazil,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Proton,15.0,Space Systems/Loral,USA,Commercial,Communications,,GEO,,-63.0,35783.0,35791.0,9.48834120074958e-05,0.02,1436.1,4970.0,2150,12000,Five communications antennas and 46 Ku-band transponders -- 19 switchable and 27 fixed. Will also serve Brazil. Failed to fully deploy one of its solar panels.,,JMSatcat/10_18,45.96725377748388,63.30547994996387,2011-05-20,1,21.3,0.0,0.0,20.4,34.2,4,29,Parcialmente nublado,2011,2011
2011-06-20,"(28.246289127653373, 102.02655974251424)",2011-026A,37677,Zhongxing 10,Xichang Satellite Launch Center,China,China,China Satellite Communication Corp. (China Satcom),Long March 3B,15.0,China Academy of Space Technology (CAST),China,Government,Communications,,GEO,,110.5,35775.0,35797.0,0.0002609355726349749,0.17,1436.05,5000.0,,,Thought to be for intelligence gathering.,,SC - ASCR,28.246289127653373,102.02655974251424,2011-06-20,51,20.1,1.5,5.0,12.7,39.2,99,85,Lluvia ligera,2011,2011
2011-07-06,"(40.95820141282573, 100.29113255468557)",2011-030A,37730,Shijian 11-03,Jiuquan Satellite Launch Center,Unknown,China,China Academy of Space Technology (CAST),Long March 2C,,China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.,China,Government,Technology Development,,LEO,Sun-Synchronous,0.0,688.0,703.0,0.0010614960016983937,98.2,98.7,,,,Conduct various technology and environmental experiments.,,www.satellitedebris.net 12/12,40.95820141282573,100.29113255468557,2011-07-06,51,22.0,0.1,1.0,38.1,60.1,11,14,Lluvia ligera,2011,2011
2011-07-11,"(28.246289127653373, 102.02655974251424)",2011-032A,37737,TianLian 2,Xichang Satellite Launch Center,China,China,China Aerospace Science and Technology Corp. (CASC),Long March 3C,,China Academy of Space Technology (CAST),China,Government,Communications,Technology Development,GEO,,176.72,37778.0,37794.0,0.00018117583114412537,1.0,1436.1,2250.0,,,Data relay satellite. Will cover Shenzhou missions and China's space station.,,ZARYA 2021,28.246289127653373,102.02655974251424,2011-07-11,61,18.4,13.1,24.0,6.6,28.4,98,91,Lluvia ligera,2011,2011
2011-07-13,"(45.96725377748388, 63.30547994996387)",2011-033C,37741,Globalstar M091,Baikonur Cosmodrome,ESA,USA,Globalstar,Soyuz-2.1a,15.0,Thales Alenia Space,Italy,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413.0,1415.0,0.00012846865364850977,52.0,114.1,700.0,,1700,,,www.satellitedebris.net 12/12,45.96725377748388,63.30547994996387,2011-07-13,0,22.4,0.0,0.0,23.3,41.0,0,34,Soleado,2011,2011
2011-07-13,"(45.96725377748388, 63.30547994996387)",2011-033F,37744,Globalstar M089,Baikonur Cosmodrome,ESA,USA,Globalstar,Soyuz-2.1a,15.0,Thales Alenia Space,Italy,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413.0,1415.0,0.00012846865364850977,51.99,118.2,700.0,,1700,,,WT,45.96725377748388,63.30547994996387,2011-07-13,0,22.4,0.0,0.0,23.3,41.0,0,34,Soleado,2011,2011
2011-07-13,"(45.96725377748388, 63.30547994996387)",2011-033B,37740,Globalstar M088,Baikonur Cosmodrome,ESA,USA,Globalstar,Soyuz-2.1a,15.0,Thales Alenia Space,Italy,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1412.0,1415.0,0.0001927153594141453,52.0,114.1,700.0,,1700,,,www.satellitedebris.net 12/12,45.96725377748388,63.30547994996387,2011-07-13,0,22.4,0.0,0.0,23.3,41.0,0,34,Soleado,2011,2011
2011-07-13,"(45.96725377748388, 63.30547994996387)",2011-033D,37742,Globalstar M085,Baikonur Cosmodrome,ESA,USA,Globalstar,Soyuz-2.1a,15.0,Thales Alenia Space,Italy,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413.0,1415.0,0.00012846865364850977,52.0,114.1,700.0,,1700,,,www.satellitedebris.net 12/12,45.96725377748388,63.30547994996387,2011-07-13,0,22.4,0.0,0.0,23.3,41.0,0,34,Soleado,2011,2011
2011-07-13,"(45.96725377748388, 63.30547994996387)",2011-033A,37739,Globalstar M083,Baikonur Cosmodrome,ESA,USA,Globalstar,Soyuz-2.1a,15.0,Thales Alenia Space,Italy,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413.0,1414.0,6.423845313804844e-05,52.0,114.1,700.0,,1700,,,www.satellitedebris.net 12/12,45.96725377748388,63.30547994996387,2011-07-13,0,22.4,0.0,0.0,23.3,41.0,0,34,Soleado,2011,2011
